Transaction_Amount,Account_Balance,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Risk_Score,Is_Weekend,Transaction_Type_Online,Transaction_Type_POS,Device_Type_Mobile,Device_Type_Tablet,Merchant_Category_Electronics,Merchant_Category_Grocery,Merchant_Category_Restaurants,Merchant_Category_Travel,Card_Type_Debit,Card_Type_Prepaid,Authentication_Method_OTP,Authentication_Method_PIN,Fraud_Label
87.32,87193.41,0,2,216.76,4,124,1.89,0.214,0,1,0,1,0,0,1,0,0,1,0,0,0,0
105.91,46358.65,1,8,450.81,2,42,2.14,0.582,0,1,0,1,0,0,0,0,1,0,1,1,0,0
71.6,68819.45,0,2,143.35,4,156,0.61,0.055,0,1,0,1,0,0,0,0,1,0,1,1,0,0
17.88,66309.76,1,5,455.04,0,136,2.2,0.319,1,0,1,0,1,0,0,0,1,0,0,0,1,1
14.98,94716.61,0,3,265.72,3,180,1.22,0.514,1,0,1,1,0,0,0,0,1,1,0,0,0,0
129.87,48217.21,0,10,318.94,4,169,3.15,0.689,1,0,1,1,0,0,0,1,0,1,0,1,0,1
166.89,2733.83,0,2,428.44,0,189,11.8,0.486,0,1,0,1,0,0,0,0,1,0,1,0,0,0
71.63,61860.97,0,9,331.02,1,55,5.0,0.827,0,1,0,1,0,0,0,0,1,0,1,0,1,1
120.71,66371.34,0,5,377.89,2,216,1.9,0.326,1,0,0,0,1,0,0,1,0,0,0,0,1,0
13.75,79568.51,0,1,429.78,1,81,0.27,0.572,0,1,0,0,0,0,0,0,1,1,0,0,1,0
40.39,4198.03,0,14,341.94,3,187,11.35,0.036,0,1,0,1,0,0,0,0,1,0,0,1,0,0
13.46,42770.29,0,8,481.14,4,20,9.42,0.616,1,1,0,0,0,0,1,0,0,0,1,0,0,0
138.77,55154.96,1,1,361.13,0,184,5.53,0.301,0,0,1,1,0,0,1,0,0,0,1,1,0,0
48.92,99379.65,0,2,372.12,1,62,13.1,0.028,1,1,0,1,0,0,0,0,0,0,0,0,1,0
77.29,14504.81,1,15,198.13,4,222,1.78,0.225,0,0,0,1,0,0,0,1,0,0,1,0,0,0
48.46,96538.61,0,5,253.26,2,166,0.58,0.959,0,0,1,0,0,0,0,0,0,1,0,0,0,1
96.95,17610.06,0,14,156.22,4,207,1.73,0.928,1,1,0,0,0,0,0,0,1,0,1,0,0,0
314.67,73957.64,0,2,151.01,1,178,1.59,0.703,1,0,1,1,0,0,1,0,0,0,0,1,0,0
151.65,90985.36,1,15,206.96,1,133,12.03,0.903,0,0,1,1,0,0,0,0,1,0,0,0,0,0
18.42,28828.6,0,9,221.78,2,166,4.39,0.827,0,1,0,1,0,0,1,0,0,1,0,0,1,0
93.51,88878.75,0,6,63.09,2,89,0.88,0.305,0,0,0,0,0,0,0,0,1,1,0,0,0,1
93.83,50992.76,0,10,80.24,1,134,6.8,0.13,0,1,0,1,0,0,0,0,0,1,0,1,0,0
